index,symbol
1041,KODYTECH
1042,KOHINOOR
1043,KOKUYOCMLN
1044,KOLTEPATIL
1045,KOPRAN
1046,KOTAKBANK
1047,KOTARISUG
1048,KOTHARIPET
1049,KOTHARIPRO
1050,KOTYARK
1051,KPEL
1052,KPIGREEN
1053,KPIL
1054,KPITTECH
1055,KPRMILL
1056,KRBL
1057,KREBSBIO
1058,KRIDHANINF
1059,KRISHANA
1060,KRISHCA
1061,KRISHNADEF
1062,KRITI
1063,KRITIKA
1064,KRITINUT
1065,KRN
1066,KRONOX
1067,KROSS
1068,KRSNAA
1069,KRYSTAL
1070,KSB
1071,KSCL
1072,KSHITIJPOL
1073,KSL
1074,KSOLVES
1075,KTKBANK
1076,KUANTUM
1077,LAGNAM
1078,LAKSHYA
1079,LAL
1080,LALPATHLAB
1081,LAMBODHARA
1082,LANCORHOL
1083,LANDMARK
1084,LAOPALA
1085,LASA
1086,LATENTVIEW
1087,LATTEYS
1088,LAURUSLABS
1089,LAXMICOT
1091,LEMERITE
1092,LEMONTREE
1093,LFIC
1094,LGBBROSLTD
1095,LGHL
1096,LIBAS
1097,LIBERTSHOE
1098,LICHSGFIN
1099,LICI
1100,LICMFGOLD
1101,LICNETFGSC
1102,LICNETFN50
1103,LICNFNHGP
1104,LICNMID100
1105,LIKHITHA
1106,LINC
1107,LINCOLN
1108,LINDEINDIA
1109,LIQUID
1110,LIQUID1
1111,LIQUIDADD
1112,LIQUIDCASE
1113,LIQUIDPLUS
1114,LIQUIDSBI
1115,LIQUIDSHRI
1116,LLOYDSENGG
1117,LLOYDSENT
1118,LLOYDSME
1119,LMW
1120,LODHA
1121,LOKESHMACH
1122,LORDSCHLO
1123,LOTUSEYE
1124,LOVABLE
1125,LOWVOL
1126,LOWVOL1
1127,LOYALTEX
1128,LPDC
1129,LT
1130,LTF
1131,LTFOODS
1132,LTIM
1133,LTTS
1134,LUMAXIND
1135,LUMAXTECH
1136,LUPIN
1137,LUXIND
1138,LXCHEM
1139,LYKALABS
1140,LYPSAGEMS
1141,M&M
1142,M&MFIN
1143,MAANALU
1144,MACPOWER
1145,MADHAV
1146,MADHUCON
1147,MADRASFERT
1148,MAFANG
1149,MAGADSUGAR
1150,MAGNUM
1151,MAHABANK
1152,MAHAPEXLTD
1153,MAHASTEEL
1154,MAHEPC
1155,MAHESHWARI
1156,MAHKTECH
1157,MAHLIFE
1158,MAHLOG
1159,MAHSEAMLES
1160,MAITHANALL
1161,MAKEINDIA
1162,MALLCOM
1163,MALUPAPER
1164,MAMATA
1165,MANAKALUCO
1166,MANAKCOAT
1167,MANAKSIA
1168,MANAKSTEEL
1169,MANALIPETC
1170,MANAPPURAM
1171,MANBA
1172,MANCREDIT
1173,MANGALAM
1174,MANGLMCEM
1175,MANINDS
1176,MANINFRA
1177,MANKIND
1178,MANOMAY
1179,MANORAMA
1180,MANORG
1181,MANYAVAR
1182,MAPMYINDIA
1183,MARALOVER
1184,MARATHON
1185,MARICO
1186,MARINE
1187,MARKSANS
1188,MARUTI
1189,MASFIN
1190,MASPTOP50
1191,MASTEK
1192,MASTERTR
1193,MATRIMONY
1194,MAWANASUG
1195,MAXESTATES
1196,MAXHEALTH
1197,MAXIND
1198,MAYURUNIQ
1199,MAZDA
1200,MAZDOCK
1201,MBAPL
1202,MBLINFRA
1203,MCL
1204,MCLEODRUSS
1205,MCX
1206,MEDANTA
1207,MEDIASSIST
1208,MEDICAMEQ
1209,MEDICO
1210,MEDPLUS
1211,MEGASOFT
1212,MEGASTAR
1213,MEGATHERM
1214,MENONBE
1215,MEP
1216,METAL
1217,METROBRAND
1218,METROPOLIS
1219,MFML
1220,MFSL
1221,MGEL
1222,MGL
1223,MHLXMIRU
1224,MHRIL
1225,MICEL
1226,MID150CASE
1227,MIDCAP
1228,MIDHANI
1229,MIDQ50ADD
1230,MIDSMALL
1231,MINDACORP
1232,MINDTECK
1233,MIRCELECTR
1234,MIRZAINT
1235,MITCON
1236,MITTAL
1237,MKPL
1238,MMFL
1239,MMP
1240,MMTC
1241,MNC
1242,MOBIKWIK
1243,MODEFENCE
1244,MODIRUBBER
1245,MODISONLTD
1246,MODTHREAD
1247,MOGSEC
1248,MOHEALTH
1249,MOHITIND
1250,MOIL
1251,MOKSH
1252,MOL
1253,MOLDTECH
1254,MOLDTKPAC
1255,MOLOWVOL
1256,MOM100
1257,MOM50
1258,MOMENTUM
1259,MOMENTUM50
1260,MOMOMENTUM
1261,MON100
1262,MONARCH
1263,MONIFTY500
1264,MONQ50
1265,MONTECARLO
1266,MOQUALITY
1267,MOREALTY
1268,MOREPENLAB
1269,MOSMALL250
1270,MOTHERSON
1271,MOTILALOFS
1272,MOTISONS
1273,MOTOGENFIN
1274,MOVALUE
1275,MPHASIS
1276,MPSLTD
1277,MRF
1278,MRPL
1279,MSPL
1280,MSTCLTD
1281,MSUMI
1282,MTARTECH
1283,MTNL
1284,MUFIN
1285,MUFTI
1286,MUKANDLTD
1287,MUKKA
1288,MUKTAARTS
1289,MULTICAP
1290,MUNJALAU
1291,MUNJALSHOW
1292,MURUDCERA
1293,MUTHOOTCAP
1294,MUTHOOTFIN
1295,MUTHOOTMF
1296,MVGJL
1297,MVKAGRO
1298,NACLIND
1299,NAGAFERT
1300,NAGREEKCAP
1301,NAGREEKEXP
1302,NAHARCAP
1303,NAHARINDUS
1304,NAHARPOLY
1305,NAHARSPING
1306,NAM-INDIA
1307,NAMOEWASTE
1308,NARMADA
1309,NATCOPHARM
1310,NATHBIOGEN
1311,NATIONALUM
1312,NAUKRI
1313,NAVA
1314,NAVINFLUOR
1315,NAVKARCORP
1317,NAVNETEDUL
1318,NAZARA
1319,NBCC
1320,NBIFIN
1321,NCC
1322,NCLIND
1323,NDGL
1324,NDL
1325,NDLVENTURE
1326,NDRAUTO
1327,NDTV
1328,NECCLTD
1329,NECLIFE
1330,NELCAST
1331,NELCO
1332,NEOGEN
1333,NESCO
1334,NESTLEIND
1335,NETWEB
1336,NETWORK18
1337,NEULANDLAB
1338,NEWGEN
1339,NEXT50
1340,NEXTMEDIA
1341,NFL
1342,NGIL
1343,NGLFINE
1344,NH
1345,NHPC
1346,NIACL
1347,NIBL
1348,NIFTY1
1349,NIFTYQLITY
1350,NIITLTD
1351,NIITMTS
1352,NILAINFRA
1353,NILASPACES
1354,NILKAMAL
1355,NINSYS
1356,NIPPOBATRY
1357,NIRAJ
1358,NITCO
1359,NITINSPIN
1360,NITIRAJ
1361,NIVABUPA
1362,NLCINDIA
1363,NMDC
1364,NOCIL
1365,NOIDATOLL
1366,NORBTEAEXP
1367,NORTHARC
1368,NOVAAGRI
1369,NPBET
1370,NPST
1371,NRAIL
1372,NRBBEARING
1373,NRL
1374,NSIL
1375,NSLNISP
1376,NTPC
1377,NTPCGREEN
1378,NUCLEUS
1379,NURECA
1380,NUVAMA
1381,NUVOCO
1382,NV20
1383,NYKAA
1384,OAL
1385,OBCL
1386,OBEROIRLTY
1387,OBSCP
1388,OCCLLTD
1389,ODIGMA
1390,OFSS
1391,OIL
1392,OILCOUNTUB
1393,OLAELEC
1394,OLECTRA
1395,OLIL
1396,OMAXAUTO
1397,OMAXE
1398,OMINFRAL
1399,ONELIFECAP
1400,ONEPOINT
1401,ONGC
1402,ONMOBILE
1403,ONWARDTEC
1404,OPTIEMUS
